x,y,amenity,name,atm,name:en,operator,int_name,addr:street,addr:postcode,addr:city,name:mk,addr:housenumber,opening_hours,website,addr:city:en,addr:country,drive_through,phone,wheelchair,level
20.8498339,41.184375,bank,3,,,,,,,,,,,,,,,,,
20.6759822,41.1773653,bank,Шпаркасе банка,,,,,,,,,,,,,,,,,
20.6758536,41.1778941,bank,Стопанска банка,,,,,,,,,,,,,,,,,
20.6762264,41.1780334,bank,NLB банка,,,,,,,,,,,,,,,,,
20.6759569,41.18081,bank,TTK банка,,,,,,,,,,,,,,,,,
22.7749486,41.9663156,bank,Уни Банка - експозитура Делчево,no,Uni Bank - Delchevo,,,бул. Методи Митевски Брицо,2320,Делчево,,,,,,,,,,
22.7771603,41.9672064,bank,Комерцијална Банка - Експозитура Делчево,yes,Komercijalna Banka - branch Delčevo,,,бул. Македонија,2320,Делчево,,45,,,,,,+389 33 412 356,,
21.4724627,41.9741156,bank,,,,,,,,,,,,,,,,,,
21.3355318,41.0305354,bank,Societe General,,,,,,,,,,,,,,,,,
21.2483872,41.368043,bank,Stopanska bank,yes,,,Stopanska Banka,,,,,,,,,,,,,
21.2493385,41.3679906,bank,Uni bank,yes,,,,,,,,,,,,,,,,
20.8023248,41.1121132,bank,Стопанска Банка,,,,,,,,,,,,,,,,,
20.8020711,41.1128603,bank,Централна Кооперативна Банка,,,,,,,,,,,,,,,,,
20.8018224,41.1133624,bank,NLB Tutunska banka,yes,,,,,,,,,,,,,,,,
20.8011697,41.1170154,bank,Bank,,,,,,,,,,,,,,,,,
20.8012109,41.1172949,bank,,,,,,,,,,,,,,,,,,
20.8014431,41.1174359,bank,Охридска банка,yes,,,,,,,,,,,,,,,,
22.8820196,41.4126269,bank,,,,,,,,,,,,,,,,,,
22.85515,41.70578,bank,Уни Банка,yes,Uni Bank,,,,,,,,,,,,,,,
22.85678,41.70647,bank,Инвест Банка,,Invest Bank,,,,,,,,,,,,,,,
22.85733,41.70528,bank,Стопанска Банка,,Stopanska Bank,,,,,,,,,,,,,,,
22.8831147,41.7594617,bank,Комерцијална Банка АД Скопје,,,,,,,,,,,,,,,,,
22.6383922,41.4384887,bank,,,,,,,,,,,,,,,,,,
22.6386429,41.4390415,bank,Stopanska Banka,,,,,,,,,,,,,,,,,
22.6407801,41.4380957,bank,Komercijalna Banka,,,,,,,,,,,,,,,,,
22.1929715,41.7380113,bank,,,,,,,,,,,,,,,,,,
22.1935388,41.7380874,bank,,,,,,,,,,,,,,,,,,
22.1940951,41.7373385,bank,,,,,,,,,,,,,,,,,,
22.1938464,41.7374614,bank,Халк Банк,,,,,,,,,,,,,,,,,
22.1944659,41.7385943,bank,,,,,,,,,,,,,,,,,,
22.199302,41.7373487,bank,Охридска Банка,,,,,Генерал Михајло Апостолски,2000,,,,,http://www.ohridskabanka.mk,,,,,,
20.7148243,41.6516696,bank,,,,,,,,,,,,,,,,,,
21.5542845,41.3446476,bank,Silk Road,,,,,,,,,,,,,,,,,
22.0914487,41.4869352,bank,Комерцијална Банка,,,,,,,,,,,,,,,,,
21.7817103,41.7171518,bank,Стопанска Банка Битола,,,,,,,,,,,,,,,,,
21.7825714,41.7166562,bank,ТТК Банка,,TTK Bank,,,,,,,,,,,,,,,
21.7823004,41.7176659,bank,Уни Банка,,Uni Bank,,,,,,,,,,,,,,,
21.7840428,41.7158192,bank,НЛБ Тутунска Банка,,,,,,,,,,,,,,,,,
21.7842681,41.715824,bank,Шпаркасе,,Sparcasse,,,,,,,,,,,,,,,
21.7833674,41.7173009,bank,ПроКредит Банка,,ProKredit Bank,,,,,,,,,,,,,,,
22.4112056,41.9172378,bank,Sparkasse,,,,,,,,,,,,,,,,,
22.4119298,41.9177726,bank,Alfa Banka,,,,,,,,,,,,,,,,,
22.4104896,41.9184452,bank,Стопанска Банка,,,,,,,,,,,,,,,,,
22.5050803,41.8824729,bank,Stopanska Banka,yes,,,,,,,,,,,,,,,,
22.0113764,41.4330035,bank,,,,TTK banka,,,,,,,,,,,,,,
22.0116542,41.4334167,bank,Komercijalna Banka,yes,,,,,,,,,,,,,,,,
22.0126835,41.4334963,bank,,,,Alfa,,,,,,,,,,,,,,
22.011702,41.4339027,bank,Stopanska Banka,,,,,,,,,,,,,,,,,
22.0115928,41.4343311,bank,,,,Seciete General (Ohridska banka),,,,,,,,,,,,,,
22.0109697,41.4360158,bank,,,,ProCredit Bank,,,,,,,,,,,,,,
22.0109182,41.436196,bank,,,,Stater Banka,,,,,,,,,,,,,,
22.0108924,41.4363826,bank,,,,NLB Tutunska Banka,,,,,,,,,,,,,,
22.0105986,41.4373311,bank,Invest Banka,yes,,,,,,,,,,,,,,,,
22.0108152,41.4375244,bank,Eurostandard Bank,yes,,,,,,,,,,,,,,,,
22.0111271,41.4367415,bank,,,,Uni Banka,,,,,,,,,,,,,,
22.463817,41.635763,bank,TTK Banka,yes,,,,,,,,,,,,,,,no,
22.462866,41.637023,bank,Uni banka,yes,,,,,,,,,,,,,no,,no,
22.462563,41.637201,bank,Stopanska banka,yes,,,,,,,,,,,,,no,,,
22.461677,41.637895,bank,NLB Tutunska banka,yes,,,,,,,,,,,,,,,,
22.463082,41.636894,bank,Komercijalna banka,yes,,,,,,,,,,,,,no,,no,
20.8057809,41.1105418,bank,Комерцијална Банка,,,,,,,,,,,,,,,,,
20.8093098,41.1122749,bank,,,,,,,,,,,,,,,,,,
