x,y,amenity,building,name,addr:city,addr:postcode,atm,addr:city:en,addr:country,name:en,addr:street,addr:housenumber,int_name,operator,office,building:levels,opening_hours,surveillance,surveillance:type,bic,brand,wheelchair,addr:housename,contact:website,drive_through,name:mk,phone,website
20.526361172718,41.5244677590727,bank,yes,TTK Banka,,,yes,,,,,,,TTK,,,,,,,,,,,,,,
21.5518631008647,41.3462133884198,bank,yes,Комерцијална Банка,Прилеп,7500,yes,,,Komercijalna Banka,Мице Козароски-Јандре,1-1,,,,,,,,,,,,,,,,
21.5496025563565,41.3454368495584,bank,yes,Стопанска Банка,,,,,,,,,,,,,,,,,,,,,,,,
21.2040251508635,41.2169575999916,bank,yes,,,,,,,,,,,,,,,,,TUTNMK22,,,,,,,,
21.2037932,41.2194857,bank,yes,Стопанска Банка АД - Скопје,,,,,,,,,,,,,,,,STOBMK2X,,,,,,,,
21.3364435010081,41.0300226083738,bank,,Стопанска Банка АД Битола,,,yes,,,,Добривое Радосављевиќ,21,Stopanska Banka AD Bitola,,,,,,,,,,,,,,,
20.9615008973196,41.5125471594769,bank,office,Stopanska Banka,,,yes,,,,,,,,,,,,,,,,,,,,,
22.775697470342,41.9661663680596,bank,yes,Стопанска банка АД-Скопје - Филијала Делчево,Делчево,2320,yes,,,Stopanska Banka,Орце Николов,,,,,,Mon - Fri from 08:30 to 16:30 • Sat from 08:30 to 14:00,,,,,,,,,,+389 33 411454,
21.4374647092596,41.9996148149611,bank,yes,Halkbank,Cкoпje,1000,yes,Skopje,MK,,,,,,,,,,,,,,,,,,,
21.42398105,42.0020869,bank,yes,,Cкoпje,1000,,Skopje,MK,,Булевар Илинден,72,,,,,,,,,,,,,,,,
21.4607794627237,42.0014816443333,bank,residential,НЛБ Тутунска Банка,Cкoпje,1000,,Skopje,MK,NLB Tutunska Banka,Јани Лукровски,2,NLB Tutunska Banka,,,,,,,,,,,,,,,
21.4602776937485,42.0028866498829,bank,residential,ТТК Банка,Cкoпje,1000,,Skopje,MK,TTK Bank,,,TTK Banka,,,,,,,,,,,,,,,
21.4607801,42.00272565,bank,residential,Комерцијална банка,Cкoпje,1000,yes,Skopje,MK,Komercijalna Banka,,,Komercijalna Banka,Комерцијална банка АД Скопје,,,,,,,,,,,,,,
21.46159805,42.00265975,bank,yes,Алфа Банка,Cкoпje,1000,yes,Skopje,MK,Alfa Bank,Трифун Хаџи Јанев,3,Alfa Banka,Шпаркасе,,,,,,,,,,,,,,
21.3260135902087,41.9974655498944,bank,yes,HalkBank,,,,,,,,,,,,,,,,,,,,,,,,
21.4295257,41.9920094,bank,office,Шпаркасе,Cкoпje,1000,yes,Skopje,MK,Sparkasse,Македонија,9,Šparkase,Шпаркасе Банка Македонија АД Скопје,,,,,,,,,,,,,,
21.4396213957314,42.0012336500398,bank,yes,Стопанска банка,,,yes,,,Stopanska Banka,,,Stopanska Banka,Стопанска Банка АД - Скопје,,,,,,,,,,,,,,
21.4293263881629,41.9978873000622,bank,commercial,Ohridska Banka,Cкoпje,1000,yes,Skopje,MK,,Орце Николов,,,,administrative,,,,,,,,ББ,,,,,
21.4351598207821,41.9970546241109,bank,commercial,Комерцијална Банка,Cкoпje,1000,,Skopje,MK,Komercijalna Banka,,,Komercijalna Banka,Комерцијална Банка АД Скопје,company,,,,,,,,,,,,,
21.4253622275953,41.9926483546763,bank,commercial,Тутунска Банка,Cкoпje,1000,yes,Skopje,MK,Tutunska Bank,Булевар Мајка Тереза,1,,Тутунска Банка,administrative,,,,,,Тутунска Банка,yes,,,,,,
22.1950122025717,41.7381660806501,bank,yes,Стопанска Банка АД Скопје,,,yes,,,,,,,,,,,,,,,,,,no,,,
21.4295438058318,41.996121034485,bank,commercial,УНИБанка,Cкoпje,1000,,Skopje,MK,UNIBank,,,,,company,,,,,,,no,,,,,,http://www.unibank.com.mk/
21.429851226297,41.9963324610666,bank,office,Еуростандард Банка,Cкoпje,1000,,Skopje,MK,Eurostandard Bank,27 Март,ББ,,,,4,,indoor;outdoor,camera,,,,,http://eurostandard.com.mk,,Еуростандард Банка,,
21.4303800658486,41.9965133529118,bank,commercial,Комерцијална банка,Cкoпje,1000,,Skopje,MK,Komercijalna Bank,Орце Николов,,Komercijalna Banka,Комерцијална Банка АД Скопје,company,8,Mo-Fr 08:00-16:00,indoor;outdoor,camera,,,,,,,,,
21.4295145115379,41.9967559079732,bank,commercial,Поштенска Банка,Cкoпje,1000,yes,Skopje,MK,,27 Март,bb,,,company,,,,,,,,,,,,,
21.4299497511038,41.996743508036,bank,commercial,Комерцијална Банка,Cкoпje,1000,yes,Skopje,MK,Komercijalna Bank,Орце Николов,3,Komercijalna Banka,Комерцијална Банка АД Скопје,company,5,Mo-Fr 07:30-19:00; Sa 07:30-13:30,indoor;outdoor,camera,,,,,,,,,
21.5815391,41.9914031,bank,yes,Hallkank,,,,,,,,,,,,,,,,,Halkbank,,,,,,,
21.577784593016,41.9946933981727,bank,yes,NLB Banka,,,yes,,,,,,,,,,,,,,,,,,,,,
